predicted_target,predicted_target_str,actual_target_str,id
3.0,lying,lying,26
3.0,lying,lying,29
3.0,lying,lying,474
3.0,lying,lying,964
2.0,sitting,sitting,1677
2.0,sitting,sitting,1697
2.0,sitting,sitting,1806
2.0,sitting,sitting,1950
2.0,sitting,sitting,2040
2.0,sitting,sitting,2214
2.0,sitting,sitting,2250
0.0,standing,standing,2453
0.0,standing,standing,2509
0.0,standing,standing,2529
0.0,standing,standing,2927
8.0,ascending_stairs,ascending_stairs,8589934658
8.0,ascending_stairs,ascending_stairs,8589934965
6.6,descending_stairs,descending_stairs,8589935171
7.4,descending_stairs,descending_stairs,8589935183
6.8,descending_stairs,walking,8589935298
4.6,walking,walking,8589935317
8.0,ascending_stairs,walking,8589935768
5.0,walking,walking,8589935770
6.0,cycling,cycling,8589935936
6.0,cycling,cycling,8589936112
3.0,lying,lying,8589936348
3.0,lying,lying,8589936424
3.0,lying,lying,8589936566
3.0,lying,lying,8589936761
2.0,sitting,sitting,8589936870
2.0,sitting,sitting,8589936972
2.0,sitting,sitting,8589937263
2.0,sitting,sitting,8589937582
0.0,standing,standing,8589937853
2.0,sitting,sitting,8589937874
2.0,sitting,sitting,8589937892
0.0,standing,standing,8589937972
0.8,running,standing,8589938024
0.0,standing,standing,8589938116
0.0,standing,standing,8589938148
0.0,standing,standing,8589938178
0.0,standing,standing,8589938345
0.0,standing,standing,8589938353
0.0,standing,standing,8589938411
0.0,standing,standing,8589938560
0.0,standing,standing,8589938663
7.0,descending_stairs,descending_stairs,17179869487
5.0,walking,ascending_stairs,17179869788
5.0,walking,walking,17179870193
5.0,walking,walking,17179870343
6.0,cycling,cycling,17179870614
1.0,running,running,17179870829
3.4,lying,running,17179871026
3.0,lying,lying,17179871724
3.0,lying,lying,17179871947
3.0,lying,lying,17179872052
2.0,sitting,sitting,17179872108
2.0,sitting,sitting,17179872248
0.0,standing,standing,25769804400
8.0,ascending_stairs,ascending_stairs,25769804925
